RESULTADOS DO BENCHMARK - COUPLED TASK SCHEDULING
============================================================
Tempo limite por instância: 120 segundos
Total de instâncias processadas: 90

Instância            Tarefas  Tempo(s)   Objetivo     Bound        Gap(%)   Status    
15_7_M_gen.txt       15       0.05       2355         2355         0.00     RESOLVIDO 
15_7_S_gen.txt       15       0.05       879          879          0.00     RESOLVIDO 
15_8_L_gen.txt       15       0.04       3705         3705         0.00     RESOLVIDO 
15_8_M_gen.txt       15       0.03       2122         2122         0.00     RESOLVIDO 
15_8_S_gen.txt       15       0.05       859          859          0.00     RESOLVIDO 
15_9_L_gen.txt       15       0.05       4505         4505         0.00     RESOLVIDO 
15_9_M_gen.txt       15       0.05       2415         2415         0.00     RESOLVIDO 
15_9_S_gen.txt       15       0.04       770          770          0.00     RESOLVIDO 

============================================================
ESTATÍSTICAS RESUMIDAS
============================================================
Instâncias resolvidas: 90/90 (100.0%)
Instâncias não resolvidas: 0
Tempo médio (resolvidas): 0.04s
Gap médio: 0.00%

Tempo total de execução: 4.04s
